date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"May 15, 2020 at 10:08:41 PM",3.93 KB,???,???,???,???,???
"May 16, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 17, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 18, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"May 19, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"May 20, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 21, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"July 5, 2020 at 10:09:42 PM",16.70 KB,???,0,0,0,0
"July 6, 2020 at 10:08:42 PM",36.42 KB,0.09605049803104007,0,0,0,0
"July 7, 2020 at 10:08:42 PM",36.63 KB,0.09745370370370371,0,0,0,0
"July 8, 2020 at 8:08:42 PM",42.12 KB,0.09790404040404041,0,0,0,0
"July 9, 2020 at 3:08:42 PM",72.76 KB,0.09757309941520467,0,0,0,0
"July 10, 2020 at 4:08:42 PM",72.84 KB,0.0976111111111111,0,0,0,0
"July 11, 2020 at 4:08:42 PM",73.06 KB,0.09765046296296297,0,0,0,0
"July 12, 2020 at 6:08:42 PM",73.13 KB,0.09741452991452991,0,0,0,0
"July 13, 2020 at 10:09:42 PM",73.13 KB,0.17913940115010907,0,0,0,0
"July 14, 2020 at 10:09:42 PM",73.13 KB,0.19274305555555554,0,0,0,0
"July 15, 2020 at 10:08:41 PM",73.10 KB,???,0,0,0,0
"July 16, 2020 at 10:09:41 PM",73.06 KB,0.1938584316446912,0,0,0,0
"July 17, 2020 at 10:09:41 PM",73.06 KB,0.18384259259259259,0,0,0,0
"July 18, 2020 at 10:08:41 PM",78.75 KB,0.09754459115126245,0,0,0,0
"July 19, 2020 at 10:09:41 PM",109.21 KB,0.09776775387462411,0,0,0,0
"July 20, 2020 at 9:09:41 PM",109.26 KB,0.09754830917874396,0,0,0,0
"July 21, 2020 at 10:08:41 PM",109.30 KB,0.09754280631532132,0,0,0,0
"July 22, 2020 at 10:09:41 PM",109.29 KB,0.09690030071709461,0,0,0,0
"July 23, 2020 at 12:10:41 AM",109.27 KB,0.09696969696969697,0,0,0,0
"July 23, 2020 at 10:09:41 PM",109.31 KB,???,0,0,0,0
"July 24, 2020 at 10:08:41 PM",109.31 KB,0.09739402362751912,0,0,0,0
"July 25, 2020 at 10:08:41 PM",109.42 KB,0.08155092592592593,0,0,0,0
"July 26, 2020 at 10:08:41 PM",109.55 KB,0.09515046296296296,0,0,0,0
"July 27, 2020 at 10:09:41 PM",109.66 KB,0.09568586629655332,0,0,0,0
"July 27, 2020 at 11:08:41 PM",109.66 KB,0.08926553672316384,0,0,0,0
"July 28, 2020 at 6:08:41 AM",109.71 KB,0.09384920634920635,0,0,0,0
"July 28, 2020 at 11:09:41 PM",109.73 KB,0.09609859614756774,0,0,0,0
"July 29, 2020 at 11:08:41 PM",109.88 KB,0.09735927727588603,0,0,0,0
"July 30, 2020 at 11:08:41 PM",110.00 KB,0.09649305555555555,0,0,0,0
"July 31, 2020 at 11:08:41 PM",110.20 KB,0.09435185185185185,0,0,0,0
"August 1, 2020 at 11:08:41 PM",110.31 KB,0.09550925925925927,0,0,0,0
"August 2, 2020 at 11:09:41 PM",110.41 KB,0.09602128151746472,0,0,0,0
"August 3, 2020 at 11:08:41 PM",110.49 KB,0.08356497567755386,0,0,0,0
"August 4, 2020 at 11:08:41 PM",110.52 KB,0.09537037037037037,0,0,0,0
"August 5, 2020 at 4:09:41 AM",110.39 KB,0.09617940199335548,0,0,0,0
"August 5, 2020 at 11:08:41 PM",110.51 KB,0.09723441615452151,0,0,0,0
"August 6, 2020 at 10:09:41 AM",110.97 KB,0.0978315683308119,0,0,0,0
"August 6, 2020 at 11:09:41 PM",111.02 KB,0.09446581196581197,0,0,0,0
"August 7, 2020 at 4:09:41 PM",111.58 KB,0.09725490196078432,0,0,0,0
"August 7, 2020 at 11:08:41 PM",111.65 KB,0.09550517104216388,0,0,0,0
"August 8, 2020 at 10:09:41 PM",112.02 KB,0.096282886797007,0,0,0,0
"August 8, 2020 at 11:09:41 PM",112.04 KB,0.07722222222222222,0,0,0,0
"August 9, 2020 at 10:08:41 PM",112.77 KB,0.09708726130045928,0,0,0,0
"August 9, 2020 at 11:08:41 PM",112.78 KB,0.09805555555555556,0,0,0,0
"August 10, 2020 at 10:09:41 PM",113.24 KB,0.09472604392951967,0,0,0,0
"August 10, 2020 at 11:09:41 PM",113.25 KB,0.09805555555555556,0,0,0,0
"August 11, 2020 at 10:09:41 PM",113.50 KB,0.08183574879227053,0,0,0,0
"August 11, 2020 at 11:09:41 PM",113.50 KB,0.09777777777777778,0,0,0,0
"August 12, 2020 at 10:08:41 PM",113.50 KB,0.09718394972202078,0,0,0,0
"August 12, 2020 at 11:09:41 PM",113.50 KB,0.09808743169398908,0,0,0,0
"August 13, 2020 at 9:08:41 PM",113.54 KB,0.09519838261309073,0,0,0,0
"August 13, 2020 at 11:08:41 PM",113.54 KB,0.09638888888888889,0,0,0,0
"August 14, 2020 at 10:09:41 PM",113.72 KB,0.09658460053101617,0,0,0,0
"August 15, 2020 at 10:09:41 PM",113.74 KB,0.09694444444444444,0,0,0,0
"August 16, 2020 at 12:13:41 AM",113.79 KB,0.09368279569892474,0,0,0,0
"August 16, 2020 at 10:08:41 PM",113.79 KB,0.09755386565272497,0,0,0,0
"August 17, 2020 at 10:09:41 PM",113.79 KB,0.09673837612768911,0,0,0,0
