date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"May 15, 2020 at 10:08:41 PM",3.92 KB,???,???,???,???,???
"May 16, 2020 at 10:08:41 PM",4.00 KB,0.0009490740740740741,0.000011574074074074073,0,0,0
"May 17, 2020 at 10:09:41 PM",4.00 KB,0.0028221142724959517,0.00004626416840157298,0,0,0
"May 18, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"May 19, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"May 20, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 21, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"July 5, 2020 at 10:08:41 PM",16.59 KB,0.0000072017579696968546,???,0,0,0
"July 6, 2020 at 10:08:41 PM",36.42 KB,0.09604166666666666,0,0,0,0
"July 7, 2020 at 10:08:41 PM",36.63 KB,0.09748842592592592,0,0,0,0
"July 8, 2020 at 9:08:41 PM",43.61 KB,0.09791062801932367,0,0,0,0
"July 9, 2020 at 3:09:41 PM",72.76 KB,0.09761023743447425,0,0,0,0
"July 10, 2020 at 4:08:41 PM",72.84 KB,0.097631754503002,0,0,0,0
"July 11, 2020 at 5:08:41 PM",73.07 KB,0.09764444444444445,0,0,0,0
"July 12, 2020 at 6:09:41 PM",73.13 KB,0.09745725072174106,0,0,0,0
"July 13, 2020 at 10:08:41 PM",73.13 KB,0.17915425848719477,0,0,0,0
"July 14, 2020 at 10:08:41 PM",73.13 KB,0.19266203703703705,0,0,0,0
"July 15, 2020 at 10:08:41 PM",73.10 KB,???,0,0,0,0
"July 16, 2020 at 10:08:41 PM",73.06 KB,0.19387731481481482,0,0,0,0
"July 17, 2020 at 10:08:41 PM",73.06 KB,0.18388888888888888,0,0,0,0
"July 18, 2020 at 10:09:41 PM",78.78 KB,0.09754799907471663,0,0,0,0
"July 19, 2020 at 10:09:41 PM",109.21 KB,0.09780092592592593,0,0,0,0
"July 20, 2020 at 9:08:41 PM",109.26 KB,0.09753444525018129,0,0,0,0
"July 21, 2020 at 10:08:41 PM",109.30 KB,0.09756666666666666,0,0,0,0
"July 22, 2020 at 10:08:41 PM",109.29 KB,0.09689814814814815,0,0,0,0
"July 23, 2020 at 12:14:41 AM",109.27 KB,0.09695767195767195,0,0,0,0
"July 23, 2020 at 10:08:41 PM",109.31 KB,???,???,???,0,0
"July 24, 2020 at 10:08:41 PM",109.31 KB,0.09866898148148148,0.11625,0.0005671296296296297,0,???
"July 25, 2020 at 10:09:41 PM",109.41 KB,0.08196854036548692,0.09594031922276197,0.00020818875780707842,0,0.000011566042100393246
"July 26, 2020 at 10:08:41 PM",109.55 KB,0.09776465137827195,0.10802640722724113,0.0014014361825341673,0,0.00002316423442205235
"July 27, 2020 at 10:09:41 PM",109.66 KB,0.09646079111727966,0.11365949572056443,0.0006245662734212352,0,0.000011566042100393246
"July 27, 2020 at 11:08:41 PM",109.66 KB,0.09067796610169492,0.10706214689265536,0,0,0
"July 28, 2020 at 6:08:41 AM",109.71 KB,0.09424603174603174,0.138015873015873,0.0001984126984126984,0,0
"July 28, 2020 at 11:08:41 PM",109.73 KB,0.09730392156862745,0.11973856209150327,0.0007352941176470588,???,0.000032679738562091506
"July 29, 2020 at 11:09:41 PM",109.88 KB,0.10610687022900764,0.12151283830673143,0.0019199629886652787,0,0.00002313208420078649
"July 30, 2020 at 11:09:41 PM",110.00 KB,0.10189814814814815,0.1177662037037037,0.0028703703703703703,0,0
"July 31, 2020 at 11:09:41 PM",110.20 KB,0.10592592592592592,0.15775462962962963,0.003703703703703704,0,0
"August 1, 2020 at 11:08:41 PM",110.31 KB,0.09656011118832522,0.1898656474403521,0.001783646050498031,0,0
"August 2, 2020 at 11:08:41 PM",110.41 KB,0.09708333333333333,0.21059027777777778,0.0029861111111111113,0.000011574074074074073,0
"August 3, 2020 at 11:09:41 PM",110.49 KB,0.0866527874161462,0.22889197316678234,0.005366643534582466,0.00002313208420078649,0.00002313208420078649
"August 4, 2020 at 11:08:41 PM",110.52 KB,0.09925874449849433,0.2604007412555015,0.004401204540189946,0,0
"August 5, 2020 at 4:09:41 AM",110.39 KB,0.09634551495016612,0.28056478405315616,0.00011074197120708749,0,0
"August 5, 2020 at 11:09:41 PM",110.51 KB,0.09763157894736842,0.24628654970760233,0.0042982456140350876,0.000014619883040935673,0.00010233918128654971
"August 6, 2020 at 10:09:41 AM",110.97 KB,0.09861111111111111,0.23967171717171717,0.0014141414141414141,0.000025252525252525253,0
"August 6, 2020 at 11:08:41 PM",111.02 KB,0.10004278990158323,0.1967479674796748,0.004300385109114249,0,0.000021394950791613178
"August 7, 2020 at 4:09:41 PM",111.58 KB,0.09748612471433235,0.2475024485798237,0.003852432255958211,0,0.0000326477309826967
"August 7, 2020 at 11:09:41 PM",111.65 KB,0.09579357476700415,0.25559503524203553,0.004047615835225528,0.000039682508188485566,0.00015873003275394227
